,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1526665780716249088,1526665780716249088,1652820460000.0,2022-05-17 14:47:40,-0600,,#long #watchlist for #trading on #tsx #tsxv $100+: $BMO $GIB.A $NTR $RY $TRI $WCN $WFG,en,"['long', 'watchlist', 'trading', 'tsx', 'tsxv']","['bmo', 'gib.a', 'ntr', 'ry', 'tri', 'wcn', 'wfg']",1212797563801235456,1212797563801235456,simonstradeinc,Simon's Trade,2,14,https://twitter.com/simonstradeinc/status/1526665780716249088,[],[],0,,False,1,0,1,,%24RY,,,,,,,[],,,,
1,1526653789511356416,1526653789511356416,1652817601000.0,2022-05-17 14:00:01,-0600,,"Nice print for $RY Size: 106582 Price: 99.28 Amount: $10,581,460.96 Time: 1600 See more:  https://t.co/bTYsgRiiK8 Join  https://t.co/JWvlYbvmfL to get REAL TIME prints. Runners 📈:  https://t.co/VC1LdPYLBp Losers 📉:  https://t.co/9MWV4TYQ9o Gappers 🪜:  https://t.co/bHQKF2dERV",en,[],['ry'],1339610676524769281,1339610676524769281,TradeWithAlerts,TradeWithAlerts,2,14,https://twitter.com/TradeWithAlerts/status/1526653789511356416,"['https://tradewithalerts.com/last-print/RY', 'https://tradewithalerts.com/signup', 'https://bit.ly/2VYiZSa', 'https://bit.ly/3wWw0sc', 'https://bit.ly/3kEfjiV']",[],0,,False,0,0,0,,%24RY,,,,,,,[],,,,
2,1526628694688923648,1526628694688923648,1652811618000.0,2022-05-17 12:20:18,-0600,,$RY         Earnings reports today before the markets open  -  https://t.co/ApuvutYlh4,en,[],['ry'],1521920018329796608,1521920018329796608,LauraFr26731679,Laura Frank,2,12,https://twitter.com/LauraFr26731679/status/1526628694688923648,['https://discord.gg/c76mrZUQuE'],[],0,,False,0,0,0,,%24RY,,,,,,,[],,,,
3,1526624687014305792,1526624687014305792,1652810663000.0,2022-05-17 12:04:23,-0600,,$RY  Don't miss the next move In a few hours  https://t.co/RjJf1NBSoL,en,[],['ry'],1504282746025250819,1504282746025250819,STOCKTRADERS07,STOCK TRADERS,2,12,https://twitter.com/STOCKTRADERS07/status/1526624687014305792,['https://discord.io/DF4J97G'],[],0,,False,0,0,0,,%24RY,,,,,,,[],,,,
4,1526603659945164802,1526603659945164802,1652805650000.0,2022-05-17 10:40:50,-0600,,"$RY  FWP  Royal Bank Of Canada   (17 May, 12:39pm)  📄 UBSELN1329 Qcom 78016C846   https://t.co/FQ7KDOciAB  #RY #FWP #RoyalBankOfCanada",en,"['ry', 'fwp', 'royalbankofcanada']",['ry'],1171873456276889600,1171873456276889600,investor_feed,Docoh Feed,2,10,https://twitter.com/investor_feed/status/1526603659945164802,['https://docoh.com/filing/1000275/0001140361-22-019532/RY-FWP'],[],0,,False,0,0,0,,%24RY,,,,,,,[],,,,
5,1526594657395822593,1526594657395822593,1652803503000.0,2022-05-17 10:05:03,-0600,,Canadian Banks such as $RY have processing patents already in place for the airlines 2 process the whole transaction.,en,[],['ry'],37023435,37023435,taxplanr,John Beidle,2,10,https://twitter.com/taxplanr/status/1526594657395822593,[],[],0,,False,0,0,0,https://twitter.com/Christy4Change/status/1526386606881443841,%24RY,,,,,,,[],,,,
6,1526592335353724929,1526592335353724929,1652802950000.0,2022-05-17 09:55:50,-0600,,"$RY  FWP  Royal Bank Of Canada   (17 May, 11:54am)  📄 JPMELN407-KRE 78016FKN3   https://t.co/EAN2Sv8kCl  #RY #FWP #RoyalBankOfCanada",en,"['ry', 'fwp', 'royalbankofcanada']",['ry'],1171873456276889600,1171873456276889600,investor_feed,Docoh Feed,2,09,https://twitter.com/investor_feed/status/1526592335353724929,['https://docoh.com/filing/1000275/0001140361-22-019521/RY-FWP'],[],0,,False,0,0,0,,%24RY,,,,,,,[],,,,
7,1526592243322089472,1526592243322089472,1652802928000.0,2022-05-17 09:55:28,-0600,,"$RY ~Don't miss the next move in a few hours-,..  https://t.co/gcjS6UKGXd",en,[],['ry'],1526267523242397696,1526267523242397696,EllenBa10847889,Ellen Barton,2,09,https://twitter.com/EllenBa10847889/status/1526592243322089472,['https://discord.io/trade-now'],[],0,,False,0,0,0,,%24RY,,,,,,,[],,,,
8,1526571742268882950,1526571742268882950,1652798040000.0,2022-05-17 08:34:00,-0600,,To the enhance your experience in trading and get instant help click here  https://t.co/Z1lLPzR19i  $BA $BB $BABA $LUV $KSS  $SPG $RY $KO $STORE $SNAP $SPY  https://t.co/JrjgQzd72q,en,[],"['ba', 'bb', 'baba', 'luv', 'kss', 'spg', 'ry', 'ko', 'store', 'snap', 'spy']",1468715066388148225,1468715066388148225,Vikram7321,Vikram,2,08,https://twitter.com/Vikram7321/status/1526571742268882950,['https://discord.io/Xtrader'],['https://pbs.twimg.com/media/FS9NMTNWUAAobdH.jpg'],1,https://pbs.twimg.com/media/FS9NMTNWUAAobdH.jpg,False,0,0,0,,%24RY,,,,,,,[],,,,
9,1526561692309770241,1523719462079598592,1652795644000.0,2022-05-17 07:54:04,-0600,,@SteveWagsInvest $TROW 4% $TD 3.9% $RY 3.8%,en,[],"['trow', 'td', 'ry']",114806561,114806561,PhiloSynthesize,Abe Gold,2,07,https://twitter.com/PhiloSynthesize/status/1526561692309770241,[],[],0,,False,1,1,0,,%24RY,,,,,,,"[{'screen_name': 'SteveWagsInvest', 'name': 'Steve Wagner | Invest', 'id': '1395754988006166530'}]",,,,
